"respondent","hh_size","adults_hh","country_direction","country_change","economic_situation","political_situation","economy_change","attitude_Kopacz","hh_finances","future_finances","politics_interest","religious_participation","DATE","weight","married","ed_level","urban_rural","policies_improve_economic","know_FXborrower","province","past.turnout","employed","treat","income.quint","age","currentFXloan","pastFXloan","LeftRight","female","retired","in.labor.force","PiS2011","POPSL2011","vote.intent.rev","gi","ps","turnout.intent.ord","immigration.summary","antimigrant.summary"
"5952",233,8,3,NA,3,4,3,3,2.5,4,3,3,4,2015-10-08,1.30636639467262,0,1,2,NA,0,"Swietokrzyskie",0,1,"info",NA,19,0,0,0,0,0,1,0,0,"NoVote","some","some",0,NA,NA
"5953",235,5,4,2,3,4,3,3,2.5,4,4,4,2,2015-10-08,1.23971700977958,1,4,1,3,0,"Swietokrzyskie",0,2,"history",2,29,0,0,0,1,0,1,0,0,"DK","some","50/50",1,NA,NA
"5954",236,3,3,2,3,3,3,3,2.5,3,4,3,2,2015-10-08,0.584186510430362,0,2,1,3,0,"Swietokrzyskie",1,1,"cntrl",1,56,0,0,0,1,0,1,0,1,"PO/PSL","some","50/50",2,NA,NA
"5955",237,4,4,NA,NA,4,3,3,4,3,3,4,2,2015-10-08,1.17346529421197,1,2,1,4,0,"Swietokrzyskie",0,2,"history",1,60,0,0,NA,0,0,1,0,0,"DK","none","none",1,NA,NA
"5956",240,2,2,1,2,3,2,2,2,4,5,3,4,2015-10-08,0.845878675880913,1,2,2,2,0,"Lubuskie",1,2,"info",NA,58,0,0,0,0,0,1,NA,NA,"DK","some","50/50",2,NA,NA
"5957",241,7,5,1,3,2,3,3,2,3,3,3,2,2015-10-08,1.13007241476289,1,1,2,2,0,"Lubuskie",1,1,"cntrl",NA,68,0,0,1,1,1,0,0,1,"DK","some","DK",2,NA,NA
"5958",243,5,4,2,3,4,3,3,4,1,2,3,4,2015-10-08,1.07490386973296,1,2,2,4,0,"Lubuskie",0,1,"info",1,55,0,0,3,0,0,0,0,0,"other","some","90/10",2,NA,NA
"5959",244,3,2,1,3,2,3,3,2,5,5,4,4,2015-10-08,0.963992442368237,1,4,2,2,0,"Lubuskie",1,2,"history",5,41,0,0,0,1,0,1,0,1,"PO/PSL","some","some",2,NA,NA
"5960",249,4,2,NA,3,3,4,3,3,5,3,2,5,2015-10-08,1.63888880371909,1,4,2,3,0,"Mazowieckie",1,2,"Hungary",5,34,1,0,-3,0,0,1,0,0,"other","none","none",2,NA,NA
"5961",250,2,1,2,4,4,5,5,4,4,2,5,2,2015-10-09,0.930697487228142,0,4,1,3,1,"Slaskie",NA,2,"info",1,26,0,0,0,1,0,1,NA,NA,"DK","some","50/50",1,NA,NA
"5962",251,4,2,2,3,3,3,3,2,4,3,3,2,2015-10-09,0.720284053952341,1,2,1,2,1,"Podkarpackie",1,2,"info",1,36,0,0,-1,1,0,1,0,1,"PO/PSL","big","90/10",2,NA,NA
"5963",252,4,4,1,2,2,4,4,2,4,3,4,5,2015-10-09,1.14781676967905,1,2,3,2,0,"Pomorskie",1,1,"Hungary",5,52,0,0,0,1,1,0,0,1,"PO/PSL","some","some",2,NA,NA
"5964",255,4,4,NA,2,2,3,3,2.5,3,4,4,2,2015-10-08,0.824136085778337,0,1,1,2,1,"Kujawsko-pomorskie",1,1,"info",2,85,0,0,1,1,1,0,0,1,"NoVote","none","DK",0,NA,NA
"5965",258,4,2,1,3,3,4,3,4,2,3,1,4,2015-10-08,1.34808826371753,1,2,1,2,0,"Kujawsko-pomorskie",0,2,"history",1,39,0,0,3,0,0,1,0,0,"PiS","none","none",2,NA,NA
"5966",261,2,2,NA,2,2,3,2,2,3,3,3,2,2015-10-08,1.29381585081329,1,1,1,NA,1,"Kujawsko-pomorskie",1,2,"cntrl",3,52,0,0,0,0,0,1,0,1,"DK","none","none",1,NA,NA
"5967",263,5,5,2,3,3,4,NA,2,5,3,2,3,2015-10-08,1.04143203787497,1,2,1,2,0,"Kujawsko-pomorskie",0,2,"cntrl",2,50,0,0,3,1,0,1,0,0,"PO/PSL","big","90/10",2,NA,NA
"5968",266,3,3,2,4,4,4,4,2.5,3,4,3,4,2015-10-09,1.41438254117755,0,2,3,3,0,"Kujawsko-pomorskie",1,2,"info",5,25,0,0,3,0,0,1,0,1,"other","none","none",2,NA,NA
"5969",268,3,2,NA,3,3,3,3,2,4,3,4,2,2015-10-09,1.29827647159996,1,4,2,3,1,"Malopolskie",0,1,"Hungary",NA,30,0,0,NA,1,0,0,0,0,"DK","some","50/50",1,NA,NA
